Name,Images,Title,Year,Dims (Inches),Materials,Notes / Exhibition Text,Dims (Metric)
731,"Tonsfeldt_Broadway_2021-22.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/EIusxCvVV6pKLzKZOFp6gQ/qdHLmlw1LAlvXsBXBlJ88n6dG13_yfkZDTTyZsjjKrjZHi0DSguF36rNtwvMsMT5_4fXDaPpkzTmEgvVF1EoCu0FfaCKhS6nxoT12NhXvzI5rwNE4DaIX5SxST44b0eW/XwjUl9yhvXugkKljzg97oVePlI5rkQAIWXkTuO0AFUw),Tonsfeldt_Broadway_2021-23.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/FJ1LvzocS5yiO7rgkzp23Q/kiCZxcHM6y0xmrlKFLGQVwNYe9dkvKvdcMTgjU_rDAw4BYNHaDeIKWSu3Rlhdo_41c9iO8gp-NhNgMiTBYwrP0CnZMwWwFjlVv0FcC21NabtVvgywib3ni0uhHalM7z3/GehFYz6Zr2WxB1gGGqnYfAbiaKB7NyNHXWjdjYlBNB8),Tonsfeldt_Broadway_2021-24.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/JJe7c9cLsgYY4H8G5F_GXA/m6kGboqB5REyMzj6Ma_wMhr2nUg7T03Hkoe4SKKC3KF3NtnG5wviC6lH6IcphZ3yd4ew_GBQytpPva0x3f5Ot5tfHG28cIu_8usNIlYsxNGABqSwlB7j-jjWl9KozgEz/TjMVI3ikSrSY6DmG5kbrWvWaev-O_VKmDL2ZR68tCPc),Tonsfeldt_Broadway_2021-25.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/ixprRzEg-ip8duBVgomDtw/7Yk3bUNXktE_geNBDyLsg_gRRBk_zaPDWt3Y3Hjog0G6AzJh17XDc8pWen_tEqt2uCo39SUuixDMwpNj_HgVIh01HXji3hXCxv--BYk-pxC8WcwhAJHpJx1Lr99ELvH_/v1eMnki0JHI1G0zQzYdYuKZ2YehMJjusBgiiV07cuNA)",Untitled,2022,27.75 x 49.25 x 3.25 (verify when installing),"Fiberglass reinforced gypsum, Fiberglass cloth, epoxy resin, urethane resin, pigments, inkjet dyes, UV Cured pigment print, silver gelatin print, dye sublimation print on polyester bed sheet, wood, bone, television components.  ",,
729,"Tonsfeldt_Broadway_2021-1b.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/3fYR1rAdJ4AJy7Wc_Y4Uzw/urBmkZf6NtYjrpyK9T-cIYlMuhUDaIpcGqded4SVushxY6rREHguYh18PkyOH1tUJ-Q-mXYdE1P00mIRQ0VLbjbavwK8cT9OeXo5uuO9PE7roEJip_5GY_dDd8Pu3S-6/VgW7icXsxmY2kBNs7WcS_V60kfmCm2a7M2WR06L-Yzo),Tonsfeldt_Broadway_2021-1.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/IGL4VzCGg97zp06CROjo2A/h7ZKOrZsQ-_7vyRsCMPhfPeEph6PjB5kJ2dgWzI9NFmVOiN8moX6vg63g6YqyKLJDfFQOsUNEu_Ws3Sj6Y2cynjZi_iqhaDQBtBU7TTGdVT3ljATk2AwgByshKrwVsC3/N2pMYZBrlYUP-oye94GyEvJ7KnX5yUdFL6tfz7Q58E4)",Untitled,2022,"24 x 40 x 2"" ","Fiberglass reinforced gypsum, Fiberglass Cloth, epoxy resin, urethane resin, pigments, ash, paint, inkjet dyes.",Damaged in shipment.  Work destroyed and insurance claim filed.,
728,vaccine-1.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/pNrhOnMA8b8yfsRwSDRcxw/9ZlZB3PpomNtSDKxcmhmJ-UMB8k2px7gPYHwzKlJUNg7Djcy4wAriEzxj1-c9hbeEGRC--SfU3IWefwCgjk55qF8TjaUd8K-rEoi92gUKbQ/DgGf-fzBAyGar3mKut9WAUwJTcpVXSfjo0M1DMh9nDQ),11/29/2021,2022,tbd,"UV Cured pigment print on fiberglass reinforced gypsum, pigment inks, crayon",,
724,"Tonsfeldt_Broadway_2021-34.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/Ov412G-Vmppn7n-HyvWYZg/5WZoimk2l4ept5I4r1mNg8ZMrv4RDGbA56eHFdn-i7vq0WR9KdAGJ0gBGP_7j5ISW6Lt7X9PTd9KNfrZj5tcHWGdk6wM24hxvEzuj2-7yjs6CroMAreq2cseQKU0uFnB/m8jkeHrVtAh7e3gHogTdGnpg1_7MgWWCluMvvZjLZYc),Tonsfeldt_Broadway_2021-35.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/Xm3TyMVAlcvmhImw6-bdJA/S0Uvy0IL2LyHK1m6Tr5nZ1ya-fWa9XcFPeZ7C8AwvgesGnJuwO9Xp8bCNFf_Z9W7Og2olm3580yoTHHT7jofKQXKtuxrVsitC3OKWI3uscoJjcfbKWmCK9g1n70gVVin/sndSmtLMpUQveg-nqpUtqHpvRGZjlqAMeV6xQ9_xVCo)",Untitled,2022,"32.5 x 57 x 4"" ","Fiberglass reinforced gypsum, Fiberglass cloth, epoxy resin, urethane resin, pigments, inkjet dyes, garden lattice, zip ties. ",,
723,"Tonsfeldt_Broadway_2021-20.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/2n9vrkMIxnXFPIUMdH0xTA/lvhTk0nIe5w2GWa66N8QAlZpq4_6upuwigW30P0YxgAga2ymK5e9Dl0jkMA7xGPh4ZPSa7Hu3gfpHDpSKyfLUSss6mK6KdpZTjSkWGWdECTUXpxBk3Tf8zQTYlpjhxtA/iCjYp6Yen_65DOFnOrgq0d9kP52UdWturEra32To25o),Tonsfeldt_Broadway_2021-19.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/GTcfeYglNQAeO2iSKRDh0Q/R-cK8EEJGfoBq5cZ968bXsC73_WP8BMgBDaHhyWosFARyMFosDfkOJgeKvoIyEDg3PGMZu1xXb_kVY6EImoc41U4ZmYYldQnfbGIAOiskJNJMoHZLpxHaEie7XDRhS1H/yDccSXwlmeS53O2_KsUCvmH7RdokDHy2OKTwGMmhD4Q)",Who Am I?,2022,"32.5 x 57 x 4""","Fiberglass reinforced gypsum, Fiberglass cloth, epoxy resin, urethane resin, pigments, inkjet dyes, epdm rubber, dye sublimation print on polyester bed sheet, grape vines. ",,
722,"Tonsfeldt_Broadway_2021-39.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/0rGt6zX2PU5FJqfmtovRvA/AFcgsiI48HcJS69t7kU5lyY3vWuGuxBJj4LPuSy057FGC5f4M4bVfs6HjVymBBdiBVU4esFp4fIPjMwN4C3omlxS99r7Hu2PTo1HXOZ29cTfPcOibd5w5Lxdo6PFwkVC/c-LvuTH-Z2Ck7Qan_quFT4AuDpjkPyYGW5QqPiunDxM),Tonsfeldt_Broadway_2021-38.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/x8ESYRIECJNHH_yCrigZsA/vgTA37cR_hexl7ExLtMXQ2dDRThrO9fE_Du9CxRY9tk37DNIWq40OlQUM4pffVixQEsGB1jKJ5BNJ0XY66LVwWMeqmAdHYCr8X756GRQYqbv6B1ODSotiHM1KpgzxDtt/rtf0ru3HGocGO67jOu6v6ZpRrVZnkUaaR8Zw-8c6WFM),Tonsfeldt_Broadway_2021-40.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/KcTt6kX3J8iceEQYcpSn5Q/sIoidgyoUpbxcD8Tq1fP1CD77RqTj07FDxeobdThUmfWWekOheWnXMezvtMGW1VPHP6gIPNnSF7nJ9Nhfn-odM7l9l9J3jsqY0AEL6ZnRfDHsPw-vJA7bVr5MQvFmlr0/PQAvxoc8bailJES3wEOJyU__SJFb-2Zh5ZPDPGcQ8vc)",Untitled,2022,"32.5 x 57 x 4"" ","Fiberglass reinforced gypsum, Fiberglass cloth, epoxy resin, urethane resin, pigments, inkjet dyes, television components, spray paint.",,
725,Tonsfeldt_Broadway_2021-5.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/iru94owDG3nJn9oet3DK-g/91qP5TbpGEiw5TNRabA4Cvhlnhc4h305zWHn_S82CCv_BiQIt6Nf0pgm4a1aLjjcxnW-mtpiZBb1L60IJI6thiOvm1baAFaMDItY8Xh6WkaQz8ZGnV-F-LV8JJ3h_ExH/RujeStMdLOOJNELHubCED21bMFiFwof-NTkznZDDops),"Legoland NY, 6/10/2021",2021-2022,"11x14x.75""",UV Cured Pigment Print on Fiberglass Reinforced Gypsum,,
734,Tonsfeldt_Broadway_2021-8.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/ZpIsNzzNMqtEi4Q5RAudjA/RNL2J8O_mGxAnKoQGJpoueCPoipQC9g-j-sQUaif6ioR6bqfm75m2vFlk5-w2VJmXOWQNpMzjf49pXE-itoGhw3hhLKF13YNXwN34JTTvEvf5PHmiJX0M70BepMxmT9H/m16NjUKYppNJ_wFrh2Yw-Oh-joEbE94UVUiV44c5ANo),School Bag,2021,"9x12x.75""",UV Cured Pigment Print on Varnish and Fiberglass Reinforced Gypsum,,
727,Tonsfeldt_Broadway_2021-27.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/RAcCVuKDhRy92SvJdBYPJg/dGlQdPYt3RewSJfBWkts8ylhlTyGimEOXHgQXfmO4i41y5woF-iftE2PH8pmPKcIwbqL3apgbEhwzjDw9pz7u2F3hH3xawlT2naGzPX10IJb5k_80UjkAjACOyh70tu7/Uny26E5thjMu1dDXqB9YuhQ1fYzmTjXqNrk7G4SAX20),"Globe, Greenhouse",2021,"9x12x.75""","UV Cured Pigment Print on Fiberglass Reinforced Gypsum, Pigment Inks",,
726,Tonsfeldt_Broadway_2021-8.jpg (https://v5.airtableusercontent.com/v1/17/17/1685988000000/8lkyxs1tMdikcvGZ5u_1Cw/YCkXkShlDt-UH1dTTzCX14dyCIJBL78vB_eXs17c5fRLo8YH4bAdhW0kNJjwh3i2vuptkBLpVz5JY76PvArcA4BS7rrKmRnbzOUk7_RRjp1A4M8mqi1k43g9cjXI3RfL/L3oD3URtR1z6YzhWAtbfXkLG3ocsMTzeLbsfpQ6ySoc),School Bags,2021,"2 parts:
11 x 17 x .75""
9x12x.75""",UV Cured Pigment Print on Fiberglass Reinforced Gypsum,,
